n_train,best_method,topk_overlap_k50_mean,topk_overlap_k50_sd,elite_enrichment_k50_mean,elite_enrichment_k50_sd,topk_overlap_k100_mean,topk_overlap_k100_sd,elite_enrichment_k100_mean,elite_enrichment_k100_sd,topk_overlap_k250_mean,topk_overlap_k250_sd,elite_enrichment_k250_mean,elite_enrichment_k250_sd,topk_overlap_k500_mean,topk_overlap_k500_sd,elite_enrichment_k500_mean,elite_enrichment_k500_sd
500,geometry_plus_topology | rf,0.004,0.008432740427115677,4.21992,8.896372495798497,0.013000000000000001,0.014181364924121765,6.85737,7.4805281838249895,0.0424,0.013359973386533707,8.946230400000001,2.818900944665065,0.1048,0.02641884849034029,11.0561904,2.7871356780339207
1000,geometry_plus_topology | rf,0.006,0.00966091783079296,6.32988,10.192075093129956,0.014000000000000002,0.013498971154211057,7.384860000000001,7.120572294134791,0.058800000000000005,0.01779388159515012,12.406564800000002,3.754437841050296,0.1378,0.03265237782731569,14.537624399999999,3.444760556026152
2000,geometry_plus_topology | rf,0.04,0.06036923425424944,42.199200000000005,63.68833475354808,0.051000000000000004,0.03871548642195896,26.90199,20.422031932719133,0.09159999999999999,0.02410716813637711,19.327233600000003,5.086516048103024,0.16939999999999997,0.02309497299798763,17.871361200000003,2.4364734613416985
5000,geometry_plus_topology | hgb,0.052000000000000005,0.040221608343995616,54.85896,42.4329923707485,0.078,0.04157990967870047,41.144220000000004,21.932986556417713,0.1436,0.026158491291866707,30.2990256,5.519337028618709,0.2278,0.027234781683232435,24.032444400000003,2.873214998017656
10000,geometry_plus_topology | hgb,0.098,0.08243515970479803,103.38804,86.96744478536783,0.11499999999999999,0.06467869303977418,60.661350000000006,34.11736379155049,0.17759999999999998,0.04062620938370806,37.4728896,8.571967675124867,0.27660000000000007,0.0224311291636323,29.180746799999998,2.3664392645048804
20000,geometry_plus_topology | rf,0.23399999999999999,0.08058122196475637,246.86532000000003,85.01157754837867,0.22800000000000006,0.05672545969648706,120.26772000000001,29.922112735299958,0.25880000000000003,0.02378047752067042,54.605764799999996,5.017585634951376,0.32280000000000003,0.020159365069366646,34.0547544,2.1267726960880426
40000,geometry_plus_topology | rf,0.31399999999999995,0.05815687596683837,331.26372000000003,61.35434100749514,0.30200000000000005,0.028596814119369617,159.30198000000001,15.084533479826284,0.32439999999999997,0.009323804659758456,68.44710239999999,1.9672854879903976,0.3732,0.01784376641855637,39.3718536,1.8824816696248594
210995,geometry_plus_topology | rf,0.4779999999999999,0.011352924243950924,504.28044,11.977108018883323,0.42000000000000004,5.851389114294502e-17,221.5458,0.0,0.4364,0.004788875998951463,92.07865439999998,1.0104336802747635,0.4574,0.004325634186002227,48.25478520000001,0.4563457553548632
