suite_name,target_col,test_seed,n_train,best_method_label,best_rmse_mean,second_best_method_label,top2_rmse_ci_overlap,top1_consensus_probability,mean_rank_spearman_vs_full,topk_overlap_frac_0p050_std_best,elite_enrichment_0p050_std_best,conditions_met_here
primary,uptake(mmol/g) methane at 65 bar,17,2000,geometry_plus_topology | hgb,1.2163268995885197,geometry_plus_topology | rf,True,0.4,0.898235294117647,0.0101379877299014,0.2027943552387456,False
primary,uptake(mmol/g) methane at 65 bar,17,5000,geometry_plus_topology | hgb,1.1057553360091483,geometry_plus_topology | rf,False,1.0,0.9011764705882352,0.0043436696437698,0.0868882176864667,False
primary,uptake(mmol/g) methane at 65 bar,17,10000,geometry_plus_topology | mlp,1.0488045088105435,geometry_plus_topology | rf,True,0.8,0.941764705882353,0.0054533721690549,0.109086055572803,True
primary,uptake(mmol/g) methane at 65 bar,17,20000,geometry_plus_topology | mlp,0.9897042168151116,geometry_plus_topology | rf,False,1.0,0.9623529411764704,0.0101670253035647,0.2033752058163589,False
primary,uptake(mmol/g) methane at 65 bar,17,40000,geometry_plus_topology | mlp,0.9538556195499822,geometry_plus_topology | rf,True,0.8,0.9805882352941176,0.0033556043694545,0.0671235399637294,True
primary,uptake(mmol/g) methane at 65 bar,17,210995,geometry_plus_topology | rf,0.8668475012835775,geometry_plus_topology | mlp,False,1.0,0.9947058823529412,0.0009053724980139,0.0181105399688043,False
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,500,geometry_plus_topology | rf,0.6339504989339619,geometry_plus_topology | hgb,False,1.0,0.8488235294117648,0.0206188349358644,0.4124470701675819,False
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,1000,geometry_plus_topology | rf,0.6164749798847036,geometry_plus_topology | hgb,True,0.8,0.9241176470588236,0.027382644214692,0.5477463404174397,False
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,2000,geometry_plus_topology | rf,0.5987226555029984,geometry_plus_topology | mlp,True,1.0,0.963529411764706,0.0203039714193635,0.4061487252180532,False
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,5000,geometry_plus_topology | hgb,0.5717000086681294,geometry_plus_topology | rf,True,0.6,0.9741176470588236,0.013372504878654,0.2674957375214729,False
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,10000,geometry_plus_topology | hgb,0.5474947029362961,geometry_plus_topology | rf,True,1.0,0.968235294117647,0.0063817016209215,0.1276558129700376,True
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,20000,geometry_plus_topology | rf,0.5296539971264195,geometry_plus_topology | hgb,False,1.0,0.978235294117647,0.0084097702716673,0.1682241077209643,False
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,40000,geometry_plus_topology | rf,0.50377046325834,geometry_plus_topology | hgb,False,1.0,0.9864705882352942,0.0034610858427317,0.0692335294343031,False
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,210995,geometry_plus_topology | rf,0.4525078900704751,geometry_plus_topology | hgb,False,1.0,0.996470588235294,0.0015168752370117,0.0303426817888263,False
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,47,500,geometry_plus_topology | rf,0.6365704196774435,geometry_plus_topology | hgb,True,1.0,0.7741176470588236,0.0281484085888175,0.5630642414302383,False
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,47,1000,geometry_plus_topology | rf,0.6188736240771989,geometry_plus_topology | hgb,True,0.8,0.8523529411764705,0.0243563594510207,0.4872103165270738,False
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,47,2000,geometry_plus_topology | rf,0.5985177750402245,geometry_plus_topology | hgb,True,1.0,0.9652941176470587,0.0067762485830646,0.1355480987895626,True
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,47,5000,geometry_plus_topology | hgb,0.5708044052354244,geometry_plus_topology | rf,True,0.8,0.9576470588235294,0.0129034737550076,0.2581135142597264,False
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,47,10000,geometry_plus_topology | hgb,0.5462325402403522,geometry_plus_topology | rf,True,1.0,0.97,0.004378294242661,0.0875808278369844,True
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,47,20000,geometry_plus_topology | rf,0.524211680797891,geometry_plus_topology | hgb,False,1.0,0.9829411764705884,0.0046102777141992,0.09222128902021,False
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,47,40000,geometry_plus_topology | rf,0.5015257023102271,geometry_plus_topology | hgb,False,1.0,0.9882352941176468,0.0046876108123966,0.0937682149196478,False
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,47,210995,geometry_plus_topology | rf,0.4447082329519194,geometry_plus_topology | hgb,False,1.0,0.9952941176470588,0.0014290059674946,0.0285849965033648,False
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,71,500,geometry_plus_topology | rf,0.6289783237551211,geometry_plus_topology | hgb,True,1.0,0.8982352941176472,0.0210416895711964,0.4209056060641045,False
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,71,1000,geometry_plus_topology | rf,0.6129525785197312,geometry_plus_topology | hgb,True,1.0,0.9188235294117646,0.0142714302003671,0.2854773119602443,False
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,71,2000,geometry_plus_topology | rf,0.5984306831184947,geometry_plus_topology | hgb,False,1.0,0.9535294117647058,0.0176827417041219,0.3537151847367187,False
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,71,5000,geometry_plus_topology | hgb,0.5721492597541631,geometry_plus_topology | rf,True,0.8,0.9605882352941176,0.0091304360792526,0.1826398834829347,True
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,71,10000,geometry_plus_topology | hgb,0.5448087306883113,geometry_plus_topology | rf,True,0.8,0.9647058823529412,0.003982700296736,0.0796675987684978,True
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,71,20000,geometry_plus_topology | rf,0.5248074437931762,geometry_plus_topology | hgb,True,1.0,0.9711764705882352,0.0082413591942738,0.164855311391259,True
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,71,40000,geometry_plus_topology | rf,0.4995693162243985,geometry_plus_topology | hgb,False,1.0,0.976470588235294,0.00710263770554,0.1420769951951192,False
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,71,210995,geometry_plus_topology | rf,0.4495010427045564,geometry_plus_topology | hgb,False,1.0,0.9988235294117648,0.0010245928013732,0.0204953529312243,False
