target_col,test_seed,n_train,row_method,column_method,probability_row_beats_column
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | rf,geometry_plus_topology | ridge,1.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | rf,topology_only | hgb,1.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | rf,topology_only | mlp,1.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | rf,topology_only | rf,1.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | rf,topology_only | ridge,1.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | ridge,enriched_interpretable | hgb,0.8
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | ridge,enriched_interpretable | mlp,0.8
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | ridge,enriched_interpretable | rf,0.1
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | ridge,enriched_interpretable | ridge,1.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | ridge,geometry_only | hgb,1.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | ridge,geometry_only | mlp,1.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | ridge,geometry_only | rf,0.5
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | ridge,geometry_only | ridge,1.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | ridge,geometry_plus_topology | hgb,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | ridge,geometry_plus_topology | mlp,0.1
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | ridge,geometry_plus_topology | rf,0.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | ridge,geometry_plus_topology | ridge,0.5
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | ridge,topology_only | hgb,1.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | ridge,topology_only | mlp,1.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | ridge,topology_only | rf,1.0
uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | ridge,topology_only | ridge,1.0
