n_train,top1_consensus_probability,mean_rank_spearman_vs_full
500,0.6,0.8367647058823529
1000,0.8,0.9305882352941175
2000,0.9,0.9564705882352941
5000,0.8,0.9658823529411764
10000,1.0,0.9691176470588235
20000,0.9,0.9791176470588235
40000,1.0,0.9841176470588234
210995,1.0,0.9964705882352941
