n_train,method_label,descriptor_family,model_name,rmse_mean,rmse_ci_low,rmse_ci_high,r2_mean,spearman_mean
500,geometry_plus_topology | rf,geometry_plus_topology,rf,0.6346864734686536,0.6279242711350002,0.641448675802307,0.5984495804355572,0.8315368155292434
1000,geometry_plus_topology | rf,geometry_plus_topology,rf,0.6085050438051116,0.6046484216214738,0.6123616659887494,0.6309583791783562,0.8436815320056086
2000,geometry_plus_topology | rf,geometry_plus_topology,rf,0.5914317035058202,0.5883034476667464,0.594559959344894,0.6513868359093892,0.8542522400573478
5000,geometry_plus_topology | hgb,geometry_plus_topology,hgb,0.5658450796395558,0.5624961329035695,0.5691940263755421,0.6808926241834768,0.8677669932351952
10000,geometry_plus_topology | hgb,geometry_plus_topology,hgb,0.5421975316706397,0.5388713739389756,0.5455236894023038,0.7070054938177851,0.8762122695104928
20000,geometry_plus_topology | rf,geometry_plus_topology,rf,0.5223907905199602,0.5208307153058471,0.5239508657340732,0.728039259695821,0.8881715518800364
40000,geometry_plus_topology | rf,geometry_plus_topology,rf,0.4963574195870922,0.49476491495774744,0.4979499242164369,0.7544693994486071,0.8964322366634677
210995,geometry_plus_topology | rf,geometry_plus_topology,rf,0.4432913592101097,0.4431347391503162,0.4434479792699032,0.8041674966911865,0.9113194474160918
