n_train,rank_spearman_vs_full_mean,rank_spearman_vs_full_std,top10_jaccard_vs_full_mean,top10_jaccard_vs_full_std,rank_spearman_lower,rank_spearman_upper,top10_jaccard_lower,top10_jaccard_upper
500,0.5005159958720331,0.07414557253533977,0.47912087912087903,0.1275335629213074,0.42637042333669334,0.5746615684073728,0.3515873161995716,0.6066544420421864
2000,0.6404540763673889,0.14764624769757437,0.5677655677655677,0.10081581644339109,0.49280782866981454,0.7881003240649633,0.46694975132217664,0.6685813842089589
10000,0.8105263157894737,0.01882642600782886,0.6713286713286712,0.0991018725849945,0.7916998897816447,0.8293527417973026,0.5722267987436768,0.7704305439136657
210995,0.9966976264189886,0.0034537049598929227,1.0,0.0,0.9932439214590957,1.0001513313788815,1.0,1.0
