suite_name,target_col,test_seed,n_train,descriptor_family,model_name,method_label,rmse_mean,rmse_ci_low,rmse_ci_high,rmse_std,mae_mean,mae_ci_low,mae_ci_high,r2_mean,r2_ci_low,r2_ci_high,spearman_mean,spearman_ci_low,spearman_ci_high
primary,uptake(mmol/g) CO2 at 0.15 bar,17,500,enriched_interpretable,hgb,enriched_interpretable | hgb,0.6960657186324226,0.6893577819907044,0.7027736552741408,0.010822631728535993,0.41491904578211986,0.40930855061919086,0.42052954094504885,0.5170512036123908,0.5077219487653091,0.5263804584594725,0.799406350438395,0.7941137160636651,0.804698984813125
primary,uptake(mmol/g) CO2 at 0.15 bar,17,1000,enriched_interpretable,hgb,enriched_interpretable | hgb,0.6638234545506725,0.6580206407029947,0.6696262683983503,0.009362300304401602,0.39348041983124543,0.39051166669541254,0.3964491729670783,0.5607729856071273,0.5530562276220747,0.5684897435921799,0.8173601069887715,0.8121355172946971,0.8225846966828458
primary,uptake(mmol/g) CO2 at 0.15 bar,17,2000,enriched_interpretable,hgb,enriched_interpretable | hgb,0.6379279420078248,0.6325620399656231,0.6432938440500264,0.008657383752401196,0.3765755586919986,0.3743976422040688,0.3787534751799284,0.5943781435098121,0.5875517916626233,0.6012044953570009,0.8328653510793952,0.8313864053030131,0.8343442968557773
primary,uptake(mmol/g) CO2 at 0.15 bar,17,5000,enriched_interpretable,hgb,enriched_interpretable | hgb,0.6022755261171808,0.5998151117084596,0.6047359405259021,0.003969649754824297,0.3538681055020425,0.3521633959230553,0.3555728150810297,0.6384956498767824,0.635541262544428,0.6414500372091368,0.8495522938870199,0.8481978654538072,0.8509067223202327
primary,uptake(mmol/g) CO2 at 0.15 bar,17,10000,enriched_interpretable,hgb,enriched_interpretable | hgb,0.5794827424049169,0.5769912524850034,0.5819742323248305,0.0040197872011619035,0.34004782403480593,0.33890027958166624,0.3411953684879456,0.6653383576145097,0.6624529888414832,0.6682237263875361,0.8578973780022776,0.8569250706934536,0.8588696853111016
primary,uptake(mmol/g) CO2 at 0.15 bar,17,20000,enriched_interpretable,hgb,enriched_interpretable | hgb,0.5660449597152812,0.5640391469994495,0.568050772431113,0.003236192215181893,0.33389916675894427,0.3321936556998967,0.33560467781799186,0.6806839505502713,0.6784182851592626,0.68294961594128,0.8611186168066668,0.8593042568984796,0.862932976714854
primary,uptake(mmol/g) CO2 at 0.15 bar,17,40000,enriched_interpretable,hgb,enriched_interpretable | hgb,0.5521056252159815,0.551314129882132,0.552897120549831,0.0012770040879385653,0.32594741750570877,0.32548098746258175,0.3264138475488358,0.6962246347610536,0.6953522213839409,0.6970970481381662,0.8654129294871181,0.864770912206312,0.8660549467679243
primary,uptake(mmol/g) CO2 at 0.15 bar,17,210995,enriched_interpretable,hgb,enriched_interpretable | hgb,0.5382607983719478,0.5379907198114776,0.5385308769324181,0.0004357466317680268,0.31970542574511723,0.3195483187035496,0.31986253278668486,0.7112700237234089,0.7109802475994458,0.7115597998473719,0.8692229820512395,0.8690051558662676,0.8694408082362114
primary,uptake(mmol/g) CO2 at 0.15 bar,17,500,enriched_interpretable,mlp,enriched_interpretable | mlp,0.7864271588691577,0.6603520013805371,0.9125023163577783,0.2034105377696303,0.4465720886811543,0.42896967835553773,0.4641744990067708,0.346545680009026,0.08696809239095199,0.6061232676271,0.7819315547676062,0.7684361514802936,0.7954269580549188
primary,uptake(mmol/g) CO2 at 0.15 bar,17,1000,enriched_interpretable,mlp,enriched_interpretable | mlp,0.6931897623964247,0.671773328746884,0.7146061960459654,0.03455342331143927,0.4197842970243541,0.40187311593867975,0.43769547811002846,0.5200671208458376,0.48997904976366863,0.5501551919280065,0.8007747627054919,0.7877582557478571,0.8137912696631266
primary,uptake(mmol/g) CO2 at 0.15 bar,17,2000,enriched_interpretable,mlp,enriched_interpretable | mlp,0.6688412017624271,0.6486974286318337,0.6889849748930206,0.0325001039603958,0.4020759233460427,0.38588538563628594,0.41826646105579945,0.5532402233264151,0.5253564501025598,0.5811239965502704,0.8188146032771411,0.8038633983788559,0.8337658081754262
primary,uptake(mmol/g) CO2 at 0.15 bar,17,5000,enriched_interpretable,mlp,enriched_interpretable | mlp,0.6413343706253201,0.6330975667445305,0.6495711745061096,0.013289316787453582,0.38272210267519124,0.3757936374780228,0.3896505678723597,0.5899442157348398,0.5793133504277631,0.6005750810419165,0.8381237364807088,0.8299549554505896,0.846292517510828
primary,uptake(mmol/g) CO2 at 0.15 bar,17,10000,enriched_interpretable,mlp,enriched_interpretable | mlp,0.6220452535987656,0.6181163784970652,0.625974128700466,0.00633887447127499,0.37065998281926704,0.36752258860111753,0.37379737703741656,0.6143523717169812,0.6094731149628202,0.6192316284711422,0.8489717990404031,0.8468387232461752,0.851104874834631
primary,uptake(mmol/g) CO2 at 0.15 bar,17,20000,enriched_interpretable,mlp,enriched_interpretable | mlp,0.6092070967846446,0.6061150856213515,0.6122991079479376,0.0049886723605474526,0.3608342161857193,0.3582499822143639,0.36341845015707475,0.6301188207834092,0.6263694505585791,0.6338681910082393,0.8558595454153419,0.8540151137713731,0.8577039770593108
primary,uptake(mmol/g) CO2 at 0.15 bar,17,40000,enriched_interpretable,mlp,enriched_interpretable | mlp,0.5897025735112249,0.5859916732090732,0.5934134738133766,0.00598719241051343,0.3499205579606006,0.3466406821491398,0.35320043377206145,0.6534128540541347,0.6490525231107505,0.657773184997519,0.8611222256628782,0.8596442314549417,0.8626002198708147
primary,uptake(mmol/g) CO2 at 0.15 bar,17,210995,enriched_interpretable,mlp,enriched_interpretable | mlp,0.5547718387352312,0.5525301585847264,0.5570135188857359,0.003616742378155164,0.3265564479360834,0.32403955024770165,0.32907334562446516,0.6932733273939394,0.6907977982587917,0.6957488565290871,0.8727778510251705,0.8716409038252331,0.8739147982251079
primary,uptake(mmol/g) CO2 at 0.15 bar,17,500,enriched_interpretable,rf,enriched_interpretable | rf,0.6769220214231215,0.6688334560012034,0.6850105868450397,0.013050147824766427,0.4041004526956554,0.39818510474531404,0.4100158006459968,0.5431973137933173,0.5321905805400998,0.5542040470465347,0.8130353420835323,0.8071306678484983,0.8189400163185664
primary,uptake(mmol/g) CO2 at 0.15 bar,17,1000,enriched_interpretable,rf,enriched_interpretable | rf,0.6488992234128895,0.6457180657270617,0.6520803810987174,0.00513250198130927,0.3878420772434098,0.3852858208922203,0.3903983335945993,0.5803520773525924,0.5762344630279671,0.5844696916772177,0.8253971510941659,0.8220039259186981,0.8287903762696337
primary,uptake(mmol/g) CO2 at 0.15 bar,17,2000,enriched_interpretable,rf,enriched_interpretable | rf,0.6300681346566456,0.6264593595896522,0.633676909723639,0.005822422844349947,0.3754514111621536,0.3740220424547991,0.3768807798695081,0.6043469434519965,0.5998178988057303,0.6088759880982626,0.8355670341917039,0.8338892134273393,0.8372448549560684
primary,uptake(mmol/g) CO2 at 0.15 bar,17,5000,enriched_interpretable,rf,enriched_interpretable | rf,0.6026158794654949,0.5991456057486955,0.6060861531822943,0.005598963800665402,0.35548042765960075,0.3533698082088466,0.3575910471103549,0.6380729861830288,0.6339070331603042,0.6422389392057534,0.8509310413633464,0.8495871639284635,0.8522749187982294
primary,uptake(mmol/g) CO2 at 0.15 bar,17,10000,enriched_interpretable,rf,enriched_interpretable | rf,0.5807466508474143,0.5774210212781994,0.5840722804166292,0.005365593924859077,0.3405211551091288,0.33899862566870365,0.3420436845495539,0.6638656406363764,0.6600065369254148,0.6677247443473381,0.8611560411163712,0.8604693593252898,0.8618427229074527
primary,uptake(mmol/g) CO2 at 0.15 bar,17,20000,enriched_interpretable,rf,enriched_interpretable | rf,0.5589185438794861,0.5574841119302769,0.5603529758286954,0.0023143225040898273,0.3260993324530913,0.3251857361213845,0.3270129287847981,0.6886779683234205,0.6870815371804095,0.6902743994664315,0.8709051034314467,0.8703726671919099,0.8714375396709835
primary,uptake(mmol/g) CO2 at 0.15 bar,17,40000,enriched_interpretable,rf,enriched_interpretable | rf,0.5379857571644877,0.5368434947057719,0.5391280196232036,0.0018429342118603334,0.31240750154658964,0.31169560391336554,0.31311939917981374,0.7115621434355802,0.7103400639391598,0.7127842229320006,0.8793585852455097,0.8790046005579553,0.8797125699330641
