suite_name,target_col,test_seed,n_train,descriptor_family,n_models,rmse_family_mean,rmse_family_best,rmse_family_std_across_models,mae_family_mean,mae_family_best,mae_family_std_across_models,r2_family_mean,r2_family_best,r2_family_std_across_models,spearman_family_mean,spearman_family_best,spearman_family_std_across_models
primary,uptake(mmol/g) CO2 at 0.15 bar,17,500,enriched_interpretable,4,0.7225891019664765,0.6769220214231215,0.04807644024613264,0.42734340822370875,0.4041004526956554,0.021091631193050537,0.4682654930862298,0.5431973137933173,0.08720574728652138,0.7982782090809295,0.8130353420835323,0.012734096697181289
primary,uptake(mmol/g) CO2 at 0.15 bar,17,500,geometry_only,4,0.7161881424245097,0.6812186087046493,0.02840754862700318,0.44044507522643644,0.4062114144758528,0.03968773563663819,0.4874639465764061,0.5371901726892214,0.04057182323299236,0.7942830789420129,0.8137194775719385,0.014752156923453587
primary,uptake(mmol/g) CO2 at 0.15 bar,17,500,geometry_plus_topology,4,0.6686591748921031,0.6346864734686536,0.03324428887312564,0.3854499763082375,0.37109478984567973,0.01165695193196706,0.5464465901460576,0.5984495804355572,0.05726391903205417,0.8214267063000517,0.8315368155292434,0.006748755110396461
primary,uptake(mmol/g) CO2 at 0.15 bar,17,500,topology_only,4,0.8035424147073783,0.8008216018311771,0.0022755972146029633,0.5303724597284595,0.5268819494527,0.003910033659544976,0.35646724888242676,0.36080956922507423,0.003632861920962449,0.6316184125863074,0.6364171200070643,0.007938117032301784
primary,uptake(mmol/g) CO2 at 0.15 bar,17,1000,enriched_interpretable,4,0.6804574092074641,0.6488992234128895,0.029956172811807166,0.40956024477730324,0.3878420772434098,0.023058570320267143,0.5375786746001088,0.5803520773525924,0.04091533536241958,0.8120015005589178,0.8253971510941659,0.011414337518208468
primary,uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_only,4,0.6970963987143141,0.6568782945935843,0.03851380830947944,0.427619373224967,0.3919947640320086,0.04548870916245237,0.514246984389836,0.5699667650356599,0.054038883979204956,0.8077701333373709,0.8247604344327446,0.014489996016263417
primary,uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology,4,0.630345524366338,0.6085050438051116,0.021053164011142485,0.3674595943560781,0.3539725109772297,0.016208758500453096,0.6035582949032018,0.6309583791783562,0.026667754889314946,0.8354207479751261,0.8436815320056086,0.007011196349368205
primary,uptake(mmol/g) CO2 at 0.15 bar,17,1000,topology_only,4,0.8002220342933504,0.7978014983712163,0.002594414500852035,0.525902372354615,0.5221240999868313,0.004257380361294008,0.3618188655472143,0.365691048172385,0.004151392828753393,0.6333260161874292,0.6396802497957204,0.009509012108034908
primary,uptake(mmol/g) CO2 at 0.15 bar,17,2000,enriched_interpretable,4,0.6615701869833105,0.6300681346566456,0.03603726720919679,0.39815270254699,0.3754514111621536,0.029579591846842102,0.5625929422677359,0.6043469434519965,0.0481700932345027,0.823514701214422,0.8355670341917039,0.013338798894721171
primary,uptake(mmol/g) CO2 at 0.15 bar,17,2000,geometry_only,4,0.6775201621981268,0.6402206036423767,0.046348302581700265,0.4150740617047376,0.38121377284955776,0.05228825417259506,0.5409186988926669,0.59150659586541,0.06435167307149264,0.8197909016838201,0.833731428196443,0.017849923999859782
