target_col,test_seed,subsample_seed,n_train,descriptor_family,model_name,feature,importance_mean,importance_std
uptake(mmol/g) CO2 at 0.15 bar,17,0,10000,geometry_plus_topology,rf,NASA,0.0001400178307270794,0.0002587917892469505
uptake(mmol/g) CO2 at 0.15 bar,17,0,10000,geometry_plus_topology,rf,AVA,0.006532793738601728,0.00022301441062786987
uptake(mmol/g) CO2 at 0.15 bar,17,0,10000,geometry_plus_topology,rf,AVAf,0.19199557535048212,0.0014416332644787899
uptake(mmol/g) CO2 at 0.15 bar,17,0,10000,geometry_plus_topology,rf,POAVA,0.007966302615613319,0.00030344995208646605
uptake(mmol/g) CO2 at 0.15 bar,17,0,10000,geometry_plus_topology,rf,Df,0.006824185836757401,0.00019482393209433165
uptake(mmol/g) CO2 at 0.15 bar,17,0,10000,geometry_plus_topology,rf,Di,0.006925759205452298,0.0002741011355062165
uptake(mmol/g) CO2 at 0.15 bar,17,0,10000,geometry_plus_topology,rf,Dif,0.015333391031600441,0.000318224069783641
uptake(mmol/g) CO2 at 0.15 bar,17,0,10000,geometry_plus_topology,rf,lcd_pld_ratio,0.004069359667532057,0.00036219258698128834
uptake(mmol/g) CO2 at 0.15 bar,17,0,10000,geometry_plus_topology,rf,cavity_window_gap,0.004342354145447392,0.00043237930989837876
uptake(mmol/g) CO2 at 0.15 bar,17,0,10000,geometry_plus_topology,rf,sa_pv_ratio,0.020211804101564236,0.0005644763982904757
uptake(mmol/g) CO2 at 0.15 bar,17,0,10000,geometry_plus_topology,rf,vf_density_ratio,0.3872093004226211,0.002111285166592951
uptake(mmol/g) CO2 at 0.15 bar,17,0,10000,geometry_plus_topology,rf,log_pld_plus1,0.007117199327806645,0.00021505121396461592
uptake(mmol/g) CO2 at 0.15 bar,17,0,10000,geometry_plus_topology,rf,log_lcd_plus1,0.006974623542463687,0.00021716495317312886
uptake(mmol/g) CO2 at 0.15 bar,17,0,10000,geometry_plus_topology,rf,topology_label___OTHER__,0.16352429784614436,0.0019810585577597524
uptake(mmol/g) CO2 at 0.15 bar,17,0,210995,geometry_plus_topology,rf,UC_volume,0.1019979642501577,0.0009511985809263756
uptake(mmol/g) CO2 at 0.15 bar,17,0,210995,geometry_plus_topology,rf,Density,0.13392924178049997,0.0007514547366554657
uptake(mmol/g) CO2 at 0.15 bar,17,0,210995,geometry_plus_topology,rf,ASA,0.026708588053781374,0.0005029835364556771
uptake(mmol/g) CO2 at 0.15 bar,17,0,210995,geometry_plus_topology,rf,vASA,0.06483763363677923,0.00038566495479287646
uptake(mmol/g) CO2 at 0.15 bar,17,0,210995,geometry_plus_topology,rf,NASA,0.00863289422667326,0.0001762533883830867
uptake(mmol/g) CO2 at 0.15 bar,17,0,210995,geometry_plus_topology,rf,AVA,0.01516435942454083,0.0001964087286888026
uptake(mmol/g) CO2 at 0.15 bar,17,0,210995,geometry_plus_topology,rf,AVAf,0.276929980040849,0.0017523731190277967
