suite_name,target_col,test_seed,n_train,descriptor_family,model_name,method_label,n_repeats,rmse_mean,rmse_ci_low,rmse_ci_high,rmse_std,mae_mean,mae_ci_low,mae_ci_high,mae_std,r2_mean,r2_ci_low,r2_ci_high,r2_std,spearman_mean,spearman_ci_low,spearman_ci_high,spearman_std,topk_overlap_frac_0p050_mean,topk_overlap_frac_0p050_ci_low,topk_overlap_frac_0p050_ci_high,topk_overlap_frac_0p050_std,elite_enrichment_0p050_mean,elite_enrichment_0p050_ci_low,elite_enrichment_0p050_ci_high,elite_enrichment_0p050_std,topk_overlap_k50_mean,topk_overlap_k50_ci_low,topk_overlap_k50_ci_high,topk_overlap_k50_std,elite_enrichment_k50_mean,elite_enrichment_k50_ci_low,elite_enrichment_k50_ci_high,elite_enrichment_k50_std,topk_overlap_k100_mean,topk_overlap_k100_ci_low,topk_overlap_k100_ci_high,topk_overlap_k100_std,elite_enrichment_k100_mean,elite_enrichment_k100_ci_low,elite_enrichment_k100_ci_high,elite_enrichment_k100_std,topk_overlap_k250_mean,topk_overlap_k250_ci_low,topk_overlap_k250_ci_high,topk_overlap_k250_std,elite_enrichment_k250_mean,elite_enrichment_k250_ci_low,elite_enrichment_k250_ci_high,elite_enrichment_k250_std,topk_overlap_k500_mean,topk_overlap_k500_ci_low,topk_overlap_k500_ci_high,topk_overlap_k500_std,elite_enrichment_k500_mean,elite_enrichment_k500_ci_low,elite_enrichment_k500_ci_high,elite_enrichment_k500_std
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,geometry_plus_topology,rf,geometry_plus_topology | rf,5,0.20101184619573806,0.19812520845349466,0.20389848393798146,0.0032932235806493655,0.08203414077139731,0.07814930459038737,0.08591897695240726,0.004432019276627006,0.3266056493028828,0.30727685250903375,0.3459344460967318,0.02205127732363591,0.7597366180884189,0.7489760902046761,0.7704971459721616,0.012276159092770716,0.4443686006825939,0.4258085951697322,0.46292860619545556,0.02117420101506611,8.888888630036458,8.517625175050512,9.260152085022405,0.42355628719898475,0.055999999999999994,-0.00769246109234592,0.11969246109234591,0.07266360849833979,59.078880000000005,-8.115392603203084,126.2731526032031,76.65865369357851,0.1,0.043193803154937406,0.1568061968450626,0.06480740698407861,52.749,22.78429922619794,82.71370077380206,34.185259110031616,0.11679999999999999,0.06602729804314134,0.16757270195685864,0.05792408825350641,24.644332800000004,13.931495777910653,35.357169822089354,12.22175092513684,0.18119999999999997,0.14737423845646633,0.21502576154353362,0.038590154184714,19.1162376,15.547687408680288,22.684787791319714,4.071184086178959
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,enriched_interpretable,rf,enriched_interpretable | rf,5,0.20670156841666784,0.2017763274543756,0.21162680937896008,0.0056189661210469055,0.08740889518926626,0.08238549970248914,0.09243229067604337,0.00573094580933637,0.287676732748951,0.25355245556875483,0.3218010099291472,0.038930716049981356,0.7402609059778567,0.727611825636247,0.7529099863194663,0.014430716069742494,0.4081152825180129,0.3973869488702004,0.4188436161658254,0.012239430266228103,8.163698535283526,7.949095246854075,8.378301823712977,0.24483037812410566,0.044000000000000004,0.004023687013432566,0.08397631298656744,0.04560701700396552,46.41912,4.244909325431095,88.5933306745689,48.11449079884354,0.08399999999999999,0.04260732431939196,0.12539267568060802,0.04722287581247038,44.30916,22.474937505236067,66.14338249476393,24.909594762319998,0.11039999999999998,0.06351706220809109,0.15728293779190888,0.05348644688142969,23.2939584,13.40184605765839,33.18607074234161,11.28542634619414,0.1716,0.1423073426265216,0.20089265737347842,0.033418557718728675,18.103456800000004,15.013140032412776,21.19377356758723,3.5255910022104384
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,geometry_only,rf,geometry_only | rf,5,0.20736983571785766,0.1996978484569682,0.21504182297874713,0.00875259440707207,0.0866348978093186,0.08103388099628873,0.09223591462234847,0.006389925682170408,0.28246581469849186,0.22855533916166237,0.33637629023532134,0.0615038204080052,0.744049134636827,0.7363602484858941,0.7517380207877599,0.008771873522827814,0.41069397042093286,0.38599663235802384,0.4353913084838419,0.028175983046917152,8.215281094324531,7.721250041810163,8.7093121468389,0.5636158247030085,0.048,0.016153769453827037,0.07984623054617296,0.0363318042491699,50.63904,17.041903698398457,84.23617630160155,38.32932684678926,0.05600000000000001,0.01850299211937039,0.09349700788062962,0.04277849927241487,29.539440000000003,9.760143313046683,49.31873668695332,22.565230581206123,0.0928,0.06395135663501661,0.12164864336498338,0.032912003889158735,19.580428800000004,13.493480444561968,25.66737715543804,6.944301172596938,0.1464,0.12438509014326882,0.1684149098567312,0.025115732121520958,15.4449072,13.122378239934573,17.767436160065426,2.649659507356218
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,geometry_plus_topology,hgb,geometry_plus_topology | hgb,5,0.20750098929920435,0.20009471344785829,0.21490726515055042,0.008449457277410692,0.08767804844732746,0.0814406528302976,0.09391544406435733,0.007115939082774496,0.28162870249439964,0.2291807644874198,0.3340766405013795,0.05983528299148049,0.7044624037622823,0.6909295798607431,0.7179952276638215,0.015438935801722268,0.429427379598028,0.42006219188471744,0.4387925673113386,0.010684283851534816,8.590013214416526,8.402677497052318,8.777348931780734,0.21372214216329535,0.036000000000000004,0.021332703043846157,0.05066729695615385,0.01673320053068151,37.979279999999996,22.505575057196808,53.452984942803184,17.65319189585838,0.054000000000000006,0.01971400285830964,0.08828599714169037,0.03911521443121589,28.484460000000002,10.398939367729756,46.569980632270244,20.632884460322067,0.1024,0.05963066219825237,0.14516933780174765,0.0487934421823261,21.605990400000003,12.581831201182458,30.630149598817546,10.295221126702076,0.16160000000000002,0.12895790791018447,0.19424209208981558,0.037239763694201934,17.048476800000003,13.60480136870864,20.492152231291367,3.928720590210916
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,enriched_interpretable,hgb,enriched_interpretable | hgb,5,0.2106961959510933,0.20334474064499092,0.21804765125719566,0.008386915203059394,0.09131339430081863,0.08490694670068293,0.09771984190095433,0.007308802208262145,0.25937823701028967,0.2065188412128269,0.3122376328077524,0.06030469502688441,0.6904307547512211,0.6743064382303584,0.7065550712720837,0.018395442771108102,0.40879787637466813,0.3957853632370031,0.4218103895123332,0.014845338741800072,8.177352742088498,7.9170580680275595,8.437647416149437,0.29695744152112735,0.052000000000000005,0.025413266466148953,0.07858673353385105,0.030331501776206204,54.85896,26.810487856457822,82.90743214354218,31.999127743862022,0.064,0.02260732431939197,0.10539267568060803,0.04722287581247038,33.75936,11.92513750523607,55.593582494763936,24.90959476232,0.12400000000000003,0.07930512333611382,0.16869487666388622,0.05099019513592785,26.163504,16.733063803426667,35.59394419657333,10.758727212900233,0.17439999999999997,0.15940119684774812,0.18939880315225183,0.01711139970896595,18.398851200000003,16.816507465043735,19.98119493495627,1.8052184464964913
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,geometry_only,mlp,geometry_only | mlp,5,0.21219698311190505,0.20138759057161446,0.22300637565219564,0.01233190638549433,0.10251116562330038,0.08303768250563728,0.12198464874096349,0.022216342862137372,0.2477136633533906,0.1689159238465544,0.3265114028602268,0.08989648061765636,0.642640595778264,0.56435075052507,0.7209304410314581,0.0893170489459598,0.3653394008342814,0.31774894530297637,0.41292985636558643,0.05429361920825458,7.308034908838645,6.356063373449638,8.260006444227653,1.0860576866197276,0.012,-0.0036799999999999992,0.02768,0.01788854381999832,12.65976,-3.8823263999999984,29.2018464,18.872055959221825,0.024,0.008076884726913518,0.03992311527308648,0.01816590212458495,12.659759999999999,4.260475924599612,21.059044075400386,9.582331711697314,0.0496,0.01937784230072247,0.07982215769927753,0.03447897910321592,10.465401600000002,4.08864721408324,16.84215598591676,7.274926674862147,0.09759999999999999,0.054974618641002164,0.1402253813589978,0.04862920932937322,10.2966048,5.7997123173884475,14.793497282611554,5.130284325830217
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,enriched_interpretable,ridge,enriched_interpretable | ridge,5,0.2123427063840282,0.20807790016323705,0.21660751260481934,0.004865508479873958,0.09412366815838961,0.08469087585701475,0.10355646045976448,0.010761410614036168,0.24839442978092255,0.2182788681963025,0.2785099913655426,0.03435736881826109,0.6728870088594878,0.6197818010336081,0.7259922166853675,0.06058512992751059,0.3794463405384907,0.348911104145607,0.4099815769313744,0.034836155246690495,7.590221849474725,6.979412905793185,8.201030793156265,0.6968419996616143,0.048,0.02801184350671628,0.06798815649328371,0.02280350850198276,50.63904,29.55193466271555,71.72614533728445,24.05724539942177,0.08,0.044938454112803304,0.11506154588719669,0.04,42.199200000000005,23.70458515996262,60.69381484003739,21.0996,0.08720000000000001,0.06150679965438328,0.11289320034561676,0.02931211353689802,18.398851200000003,12.977688699876254,23.820013700123752,6.184738707831335,0.124,0.11744058539197284,0.13055941460802714,0.007483314773547886,13.081752,12.38974687768235,13.77375712231765,0.789474741979755
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,geometry_only,hgb,geometry_only | hgb,5,0.2138173176471588,0.20529404346383773,0.22234059183047988,0.009723785951415775,0.09176117485385407,0.08565240200398751,0.09786994770372064,0.0069691996690850804,0.23697875080917535,0.1750353544660282,0.2989221471523225,0.07066818621453516,0.6920809293524635,0.6818243683571265,0.7023374903478005,0.01170120795966654,0.3878649981039059,0.3632950430527885,0.4124349531550233,0.028030658009394305,7.758623733402706,7.2671407758784765,8.250106690926934,0.5607088279626622,0.02,-0.0014707242542025094,0.04147072425420251,0.02449489742783178,21.0996,-1.5515846736985637,43.75078467369856,25.841626888413973,0.032,0.006899752989263232,0.057100247010736765,0.02863564212655271,16.87968,3.639550704306462,30.11980929569354,15.105014865335288,0.0816,0.043064186838734024,0.12013581316126598,0.04396362132490908,17.217273600000002,9.086371166225526,25.34817603377448,9.276148245070516,0.13879999999999998,0.09600911050235106,0.1815908894976489,0.04881802945633918,14.643122400000001,10.128769139777035,19.157475660222968,5.150204471584872
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,enriched_interpretable,mlp,enriched_interpretable | mlp,5,0.21404952678945027,0.2055871200857437,0.22251193349315684,0.009654345225886653,0.10099380872703456,0.09243880773884662,0.1095488097152225,0.00975998150875822,0.23534121948505607,0.17337417465720797,0.29730826431290414,0.07069516561216588,0.5965027347629933,0.5310826945357736,0.661922774990213,0.07463451889736435,0.38194918467956007,0.32252094597843095,0.4413774233806892,0.06779876608102477,7.640287274426285,6.4515196736504565,8.829054875202113,1.3562067167265737,0.052000000000000005,0.036320000000000005,0.06768,0.017888543819998316,54.85896,38.31687360000001,71.4010464,18.872055959221825,0.088,0.05326871151252807,0.12273128848747192,0.0396232255123179,46.41912000000001,28.098712635743443,64.73952736425657,20.900855225492567,0.1056,0.06778876018959443,0.14341123981040557,0.04313699108653731,22.281177600000003,14.303157244963666,30.259197955036342,9.10173257129503,0.1432,0.12622137626307714,0.16017862373692285,0.019370080020485198,15.107313600000001,13.316102753002115,16.898524446997886,2.043504702001147
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,geometry_plus_topology,mlp,geometry_plus_topology | mlp,5,0.21407341024956023,0.20453431015310977,0.22361251034601068,0.010882691969305108,0.1040862169910386,0.08841681960242195,0.11975561437965523,0.017876447820104342,0.234834582307049,0.16525986989382976,0.30440929472026823,0.07937438085252892,0.6030850423615399,0.5367895466702043,0.6693805380528756,0.07563328314687293,0.4248767538869928,0.3846188803528938,0.4651346274210918,0.04592823563869133,8.49898516905005,7.693690299482289,9.304280038617811,0.9187214644312963,0.04,0.012281414177487342,0.06771858582251267,0.03162277660168379,42.1992,12.956646328965594,71.4417536710344,33.361396859244365,0.084,0.04034872739541264,0.12765127260458736,0.04979959839195493,44.309160000000006,21.28355021380622,67.33476978619379,26.2687901557723,0.0928,0.06427274033490071,0.12132725966509927,0.03254535297089279,19.580428800000004,13.561291119702716,25.59956648029729,6.866939295446496,0.1312,0.1015372276413684,0.16086277235863164,0.03384080377296024,13.8413376,10.711974441709081,16.970700758290917,3.57013711643976
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,geometry_plus_topology,ridge,geometry_plus_topology | ridge,5,0.21481565607727582,0.21046187372579128,0.21916943842876035,0.004967016988346067,0.09575666594092533,0.08571677764686354,0.10579655423498711,0.01145401668980947,0.2307801348384287,0.1997531288520258,0.2618071408248316,0.03539719108361725,0.6624988598098532,0.604761593663233,0.7202361259564735,0.065869618336143,0.3944634053849071,0.37752339639404237,0.4114034143757718,0.01932602634848531,7.890614399184097,7.551756403636458,8.229472394731737,0.3865864861040013,0.06,0.03228141417748734,0.08771858582251266,0.03162277660168379,63.29880000000001,34.0562463289656,92.54135367103441,33.361396859244365,0.08800000000000001,0.059327671876877534,0.11667232812312248,0.032710854467592254,46.41912,31.294753638334125,61.54348636166587,17.25464862311024,0.1056,0.07578737556000814,0.13541262443999186,0.0340117626711701,22.2811776,15.990833093659477,28.571522106340524,7.176345876566208,0.12880000000000003,0.09955459311276388,0.15804540688723617,0.03336465195382682,13.5881424,10.502810464210361,16.67347433578964,3.5199040518248217
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,geometry_only,ridge,geometry_only | ridge,5,0.21528675937750377,0.2100606613005091,0.22051285745449845,0.00596219926389849,0.10515470349399028,0.09420565490912827,0.11610375207885229,0.012491233124846596,0.2272590087991027,0.1894798417145828,0.26503817588362266,0.04310040088485158,0.6938921083148154,0.6622036702118549,0.7255805464177759,0.03615178658112971,0.37368221463784596,0.3613282900682553,0.3860361392074366,0.014093987309443626,7.4749196586771856,7.227799003720289,7.722040313634082,0.28192784853463854,0.012,0.0023980002082899434,0.021601999791710055,0.010954451150103323,12.65976,2.5298422597417254,22.789677740258277,11.556726874336002,0.046000000000000006,0.03424000000000001,0.057760000000000006,0.01341640786499874,24.26454,18.061257599999998,30.467822400000003,7.077020984708186,0.0744,0.071264,0.077536,0.0035777087639996606,15.698102400000002,15.036418944000001,16.359785856000002,0.7548822383688728,0.11679999999999999,0.11239981091315383,0.12120018908684614,0.005019960159204451,12.322166400000002,11.857955251715907,12.786377548284097,0.5295957568757514
